,name,style,brewery_id,id,abv,ibu,ounces
1772,Dry Cider,Cider,411,1416,0.065,,16.0
1773,Dry Hard Cider,Cider,411,1415,0.065,,16.0
1774,Frankenlou's IPA,American IPA,494,918,0.07,105.0,16.0
1775,Becky's Black Cat Porter,American Porter,494,917,0.07,55.0,16.0
1776,Seventh Son of a Seventh Son,American Strong Ale,183,2250,0.077,40.0,16.0
1777,Stone Fort Brown Ale,English Brown Ale,183,1768,0.053,20.0,16.0
1778,Seventh Son Hopped Red Ale,American Amber / Red Ale,183,1767,0.077,40.0,16.0
1779,Humulus Nimbus Super Pale Ale,American Pale Ale (APA),183,1766,0.06,53.0,16.0
1780,Golden Ratio IPA,American IPA,183,1765,0.07,68.0,16.0
1781,Black Hop IPA,American Black Ale,130,2368,0.068,,12.0
1782,Archer's Ale (2004),English Pale Ale,511,738,0.05,,12.0
1783,Monkey Fist IPA,American IPA,385,1539,0.069,65.0,12.0
1784,Shipyard Summer Ale,American Pale Wheat Ale,385,975,0.051,,12.0
1785,Pumpkinhead Ale,Pumpkin Ale,385,814,0.047,,12.0
1786,Shipyard Export,American Blonde Ale,385,727,0.051,,12.0
1787,Nooner,German Pilsener,83,2474,0.052000000000000005,,12.0
1788,Torpedo,American IPA,83,2239,0.07200000000000001,65.0,12.0
1789,Yonder Bock,Maibock / Helles Bock,83,1919,0.06,,12.0
1790,CANfusion Rye Bock,Rye Beer,83,1918,0.06,,12.0
1791,Sierra Nevada Pale Ale,American Pale Ale (APA),83,1905,0.056,37.0,16.0
1792,Old Chico Crystal Wheat,American Pale Wheat Ale,83,1338,0.048,26.0,12.0
1793,Summerfest,Czech Pilsener,83,1295,0.05,28.0,12.0
1794,Sietsema Red Label,Cider,137,2353,0.069,,16.0
1795,Bear Ass Brown,American Brown Ale,551,212,0.042,,12.0
1796,Red Mountain Ale,American Amber / Red Ale,551,161,0.06,,12.0
1797,Ice Pick Ale,American IPA,551,160,0.068,,12.0
1798,4Beans,Baltic Porter,46,2574,0.1,52.0,12.0
1799,Jammer,Gose,46,2479,0.042,16.0,12.0
1800,Abigale,Belgian Pale Ale,46,2443,0.08,,12.0
1801,Rad,Fruit / Vegetable Beer,46,2266,0.032,7.0,16.0
1802,Bengali,American IPA,46,2090,0.065,62.0,24.0
1803,Sensi Harvest,American Pale Ale (APA),46,1962,0.047,50.0,12.0
1804,Hi-Res,American Double / Imperial IPA,46,1696,0.099,111.0,12.0
1805,Global Warmer,American Strong Ale,46,1608,0.07,70.0,12.0
1806,Autumnation (2013),American IPA,46,1591,0.067,74.0,16.0
1807,The Crisp,German Pilsener,46,1388,0.054000000000000006,42.0,16.0
1808,Sweet Action,Cream Ale,46,1387,0.052000000000000005,34.0,16.0
1809,Righteous Ale,Rye Beer,46,1386,0.063,57.0,16.0
1810,Bengali Tiger,American IPA,46,1385,0.064,62.0,16.0
1811,3Beans,Baltic Porter,46,1020,0.099,85.0,12.0
1812,Brownstone,American Brown Ale,46,778,0.059,47.0,16.0
1813,Apollo,American Pale Wheat Ale,46,630,0.052000000000000005,11.0,16.0
1814,Harbinger,Saison / Farmhouse Ale,46,629,0.049,35.0,16.0
1815,Resin,American Double / Imperial IPA,46,628,0.091,103.0,12.0
1816,Diesel,American Stout,46,525,0.063,69.0,16.0
